 || INFO || Starting xml parsing stream in C:\Users\ctubelleja\Desktop\CCN\KuwaitAirways\OLD\2026-09-23\Manifest-Bol-Created-AL1210035256--KUA0270-26-P03--2C54C7CF-1CD5-406B-A6E4-53BCDD5E9A70 ||  2026-09-24T23:39:03.370Z 
 || CREATION || Application started. || 2026-09-24T23:39:18.358Z 
 || INFO || Starting CCN Watcher || 2026-09-24T23:39:21.366Z 
 || INFO || Files read from C:\Users\ctubelleja\Desktop\CCN || 2026-09-24T23:39:21.369Z 
 || INFO || Connected to MongoDB || 2026-09-24T23:39:21.408Z 
 || INFO || Starting xml parsing stream in C:\Users\ctubelleja\Desktop\CCN\KuwaitAirways\OLD\2026-09-23\Manifest-Bol-Created-AL1210035256--KUA0270-26-P03--2C54C7CF-1CD5-406B-A6E4-53BCDD5E9A70 ||  2026-09-24T23:39:21.423Z 
 || CREATION || Application started. || 2026-09-24T23:39:49.008Z 
 || INFO || Starting CCN Watcher || 2026-09-24T23:39:52.025Z 
 || INFO || Files read from C:\Users\ctubelleja\Desktop\CCN || 2026-09-24T23:39:52.030Z 
 || INFO || Connected to MongoDB || 2026-09-24T23:39:52.067Z 
 || INFO || Starting xml parsing stream in C:\Users\ctubelleja\Desktop\CCN\KuwaitAirways\OLD\2026-09-23\Manifest-Bol-Created-AL1210035256--KUA0270-26-P03--2C54C7CF-1CD5-406B-A6E4-53BCDD5E9A70 ||  2026-09-24T23:39:52.081Z 
 || CREATION || Application started. || 2026-09-24T23:40:31.952Z 
 || INFO || Starting CCN Watcher || 2026-09-24T23:40:34.966Z 
 || INFO || Files read from C:\Users\ctubelleja\Desktop\CCN || 2026-09-24T23:40:34.969Z 
 || INFO || Connected to MongoDB || 2026-09-24T23:40:35.009Z 
 || INFO || Starting xml parsing stream in C:\Users\ctubelleja\Desktop\CCN\KuwaitAirways\OLD\2026-09-23\Manifest-Bol-Created-AL1210035256--KUA0270-26-P03--2C54C7CF-1CD5-406B-A6E4-53BCDD5E9A70 ||  2026-09-24T23:40:35.021Z 
 || CREATION || Application started. || 2026-09-24T23:40:38.286Z 
 || INFO || Starting CCN Watcher || 2026-09-24T23:40:41.304Z 
 || INFO || Files read from C:\Users\ctubelleja\Desktop\CCN || 2026-09-24T23:40:41.311Z 
 || INFO || Connected to MongoDB || 2026-09-24T23:40:41.347Z 
 || INFO || Starting xml parsing stream in C:\Users\ctubelleja\Desktop\CCN\KuwaitAirways\OLD\2026-09-23\Manifest-Bol-Created-AL1210035256--KUA0270-26-P03--2C54C7CF-1CD5-406B-A6E4-53BCDD5E9A70 ||  2026-09-24T23:40:41.359Z 
 || CREATION || Application started. || 2026-09-24T23:40:45.805Z 
 || INFO || Starting CCN Watcher || 2026-09-24T23:40:48.815Z 
 || INFO || Files read from C:\Users\ctubelleja\Desktop\CCN || 2026-09-24T23:40:48.819Z 
 || INFO || Connected to MongoDB || 2026-09-24T23:40:48.858Z 
 || INFO || Starting xml parsing stream in C:\Users\ctubelleja\Desktop\CCN\KuwaitAirways\OLD\2026-09-23\Manifest-Bol-Created-AL1210035256--KUA0270-26-P03--2C54C7CF-1CD5-406B-A6E4-53BCDD5E9A70 ||  2026-09-24T23:40:48.870Z 
 || CREATION || Application started. || 2026-09-24T23:40:54.983Z 
 || INFO || Starting CCN Watcher || 2026-09-24T23:40:57.987Z 
 || INFO || Files read from C:\Users\ctubelleja\Desktop\CCN || 2026-09-24T23:40:57.991Z 
 || INFO || Connected to MongoDB || 2026-09-24T23:40:58.026Z 
 || INFO || Starting xml parsing stream in C:\Users\ctubelleja\Desktop\CCN\KuwaitAirways\OLD\2026-09-23\Manifest-Bol-Created-AL1210035256--KUA0270-26-P03--2C54C7CF-1CD5-406B-A6E4-53BCDD5E9A70 ||  2026-09-24T23:40:58.041Z 
 || CREATION || Application started. || 2026-09-24T23:41:04.800Z 
 || INFO || Starting CCN Watcher || 2026-09-24T23:41:07.811Z 
 || INFO || Files read from C:\Users\ctubelleja\Desktop\CCN || 2026-09-24T23:41:07.816Z 
 || INFO || Connected to MongoDB || 2026-09-24T23:41:07.852Z 
 || INFO || Starting xml parsing stream in C:\Users\ctubelleja\Desktop\CCN\KuwaitAirways\OLD\2026-09-23\Manifest-Bol-Created-AL1210035256--KUA0270-26-P03--2C54C7CF-1CD5-406B-A6E4-53BCDD5E9A70 ||  2026-09-24T23:41:07.864Z 
 || CREATION || Application started. || 2026-09-24T23:41:15.998Z 
 || INFO || Starting CCN Watcher || 2026-09-24T23:41:19.013Z 
 || INFO || Files read from C:\Users\ctubelleja\Desktop\CCN || 2026-09-24T23:41:19.017Z 
 || INFO || Connected to MongoDB || 2026-09-24T23:41:19.058Z 
 || INFO || Starting xml parsing stream in C:\Users\ctubelleja\Desktop\CCN\KuwaitAirways\OLD\2026-09-23\Manifest-Bol-Created-AL1210035256--KUA0270-26-P03--2C54C7CF-1CD5-406B-A6E4-53BCDD5E9A70 ||  2026-09-24T23:41:19.072Z 
 || CREATION || Application started. || 2026-09-24T23:41:21.856Z 
 || INFO || Starting CCN Watcher || 2026-09-24T23:41:24.870Z 
 || INFO || Files read from C:\Users\ctubelleja\Desktop\CCN || 2026-09-24T23:41:24.873Z 
 || INFO || Connected to MongoDB || 2026-09-24T23:41:24.917Z 
 || CREATION || Application started. || 2026-09-24T23:41:25.517Z 
 || INFO || Starting CCN Watcher || 2026-09-24T23:41:28.521Z 
 || INFO || Files read from C:\Users\ctubelleja\Desktop\CCN || 2026-09-24T23:41:28.526Z 
 || INFO || Connected to MongoDB || 2026-09-24T23:41:28.564Z 
 || INFO || Starting xml parsing stream in C:\Users\ctubelleja\Desktop\CCN\KuwaitAirways\OLD\2026-09-23\Manifest-Bol-Created-AL1210035256--KUA0270-26-P03--2C54C7CF-1CD5-406B-A6E4-53BCDD5E9A70 ||  2026-09-24T23:41:28.576Z 
 || CREATION || Application started. || 2026-09-24T23:52:32.659Z 
 || CREATION || Application started. || 2026-09-24T23:52:33.501Z 
